,pair,p1,p2,OR,OR_lci,OR_uci,OR_p-value_original,Q-test,Q-test p-value,p_bh_heatmap,p_bh_scatter,within_domain
1857,Allergic and chronic rhinitis Raynaud's syndrome,Allergic and chronic rhinitis,Raynaud's syndrome,1.51,1.48,1.55,<0.0001,8.6,<0.0001,<0.0001,<0.0001,0
1858,Allergic and chronic rhinitis Gastritis and duodeniti,Allergic and chronic rhinitis,Gastritis and duodeniti,1.51,1.5,1.53,<0.0001,49.7,<0.0001,<0.0001,<0.0001,0
1859,Coronary Heart Disease Diverticular disease of intestine (acute and chronic),Coronary Heart Disease,Diverticular disease of intestine (acute and chronic),1.51,1.5,1.53,<0.0001,207.04,<0.0001,<0.0001,<0.0001,0
1860,Coronary Heart Disease Depression,Coronary Heart Disease,Depression,1.51,1.5,1.53,<0.0001,448.8,<0.0001,<0.0001,<0.0001,0
1861,Hyperplasia of prostate Enthesopathies of the upper body,Hyperplasia of prostate,Enthesopathies of the upper body,1.52,1.5,1.53,<0.0001,387.23,<0.0001,<0.0001,<0.0001,0
1862,Atrial fibrillation COPD,Atrial fibrillation,COPD,1.52,1.5,1.53,<0.0001,57.13,<0.0001,<0.0001,<0.0001,0
1863,COPD Diverticular disease of intestine (acute and chronic),COPD,Diverticular disease of intestine (acute and chronic),1.52,1.5,1.53,<0.0001,132.1,<0.0001,<0.0001,<0.0001,0
1864,"COPD Schizophrenia, schizotypal and delusional disorders",COPD,"Schizophrenia, schizotypal and delusional disorders",1.52,1.46,1.58,<0.0001,26.94,<0.0001,<0.0001,<0.0001,0
1865,Enthesopathies of the lower body Hyperplasia of prostate,Enthesopathies of the lower body,Hyperplasia of prostate,1.52,1.5,1.54,<0.0001,53.41,<0.0001,<0.0001,<0.0001,0
1866,Alcohol Problems Gastritis and duodeniti,Alcohol Problems,Gastritis and duodeniti,1.52,1.49,1.54,<0.0001,33.19,<0.0001,<0.0001,<0.0001,0
1867,Insomnia Diverticular disease of intestine (acute and chronic),Insomnia,Diverticular disease of intestine (acute and chronic),1.52,1.5,1.53,<0.0001,180.06,<0.0001,<0.0001,<0.0001,0
1868,Asthma Heart failure,Asthma,Heart failure,1.52,1.5,1.54,<0.0001,40.75,<0.0001,<0.0001,<0.0001,0
1869,Fibromyalgia Hearing loss,Fibromyalgia,Hearing loss,1.52,1.48,1.55,<0.0001,3.24,0.07,<0.0001,<0.0001,0
1870,Iron deficiency anaemia COPD,Iron deficiency anaemia,COPD,1.52,1.5,1.54,<0.0001,5.55,0.02,<0.0001,<0.0001,0
1871,Urinary Incontinence Vitamin B12 deficiency anaemia,Urinary Incontinence,Vitamin B12 deficiency anaemia,1.52,1.5,1.55,<0.0001,0.24,0.62,<0.0001,<0.0001,0
1872,Tinnitus Enthesopathies of the lower body,Tinnitus,Enthesopathies of the lower body,1.52,1.5,1.54,<0.0001,16.33,<0.0001,<0.0001,<0.0001,0
1873,Allergic and chronic rhinitis Enthesopathies of the shoulder,Allergic and chronic rhinitis,Enthesopathies of the shoulder,1.52,1.51,1.54,<0.0001,30.09,<0.0001,<0.0001,<0.0001,0
1874,Gastritis and duodeniti Rheumatoid Arthritis,Gastritis and duodeniti,Rheumatoid Arthritis,1.52,1.48,1.56,<0.0001,1.91,0.17,<0.0001,<0.0001,0
1875,Allergic and chronic rhinitis Anxiety disorders,Allergic and chronic rhinitis,Anxiety disorders,1.52,1.51,1.53,<0.0001,56.12,<0.0001,<0.0001,<0.0001,0
1876,Insomnia Hyperplasia of prostate,Insomnia,Hyperplasia of prostate,1.52,1.51,1.54,<0.0001,453.63,<0.0001,<0.0001,<0.0001,0
1877,Insomnia Raynaud's syndrome,Insomnia,Raynaud's syndrome,1.53,1.49,1.57,<0.0001,70.81,<0.0001,<0.0001,<0.0001,0
1878,Insomnia Intervertebral disc disorders,Insomnia,Intervertebral disc disorders,1.53,1.51,1.54,<0.0001,66.39,<0.0001,<0.0001,<0.0001,0
1879,Erectile dysfunction Iron deficiency anaemia,Erectile dysfunction,Iron deficiency anaemia,1.53,1.5,1.55,<0.0001,20.21,<0.0001,<0.0001,<0.0001,0
1880,Gastritis and duodeniti Sleep apnoea,Gastritis and duodeniti,Sleep apnoea,1.53,1.49,1.56,<0.0001,100.03,<0.0001,<0.0001,<0.0001,0
1881,Vitamin B12 deficiency anaemia Cholelithiasis,Vitamin B12 deficiency anaemia,Cholelithiasis,1.53,1.5,1.56,<0.0001,12.88,<0.0001,<0.0001,<0.0001,0
1882,Sleep apnoea Anxiety disorders,Sleep apnoea,Anxiety disorders,1.53,1.5,1.55,<0.0001,72.25,<0.0001,<0.0001,<0.0001,0
1883,Irritable bowel syndrome Carpal tunnel syndrome,Irritable bowel syndrome,Carpal tunnel syndrome,1.53,1.51,1.55,<0.0001,52.75,<0.0001,<0.0001,<0.0001,0
1884,Heart failure Rheumatoid Arthritis,Heart failure,Rheumatoid Arthritis,1.53,1.48,1.58,<0.0001,7.3,0.01,<0.0001,<0.0001,0
1885,Vitamin B12 deficiency anaemia Hypertension,Vitamin B12 deficiency anaemia,Hypertension,1.53,1.51,1.55,<0.0001,127.04,<0.0001,<0.0001,<0.0001,0
1886,Spondylosis Erectile dysfunction,Spondylosis,Erectile dysfunction,1.53,1.51,1.55,<0.0001,0.2,0.66,<0.0001,<0.0001,0
1887,Diverticular disease of intestine (acute and chronic) Anxiety disorders,Diverticular disease of intestine (acute and chronic),Anxiety disorders,1.53,1.52,1.55,<0.0001,112.1,<0.0001,<0.0001,<0.0001,0
1888,Spondylolisthesis Obesity,Spondylolisthesis,Obesity,1.53,1.5,1.57,<0.0001,13.39,<0.0001,<0.0001,<0.0001,0
1889,Diabetes type 2 All stroke,Diabetes type 2,All stroke,1.53,1.52,1.55,<0.0001,12.17,<0.0001,<0.0001,<0.0001,0
1890,Urinary Incontinence Anxiety disorders,Urinary Incontinence,Anxiety disorders,1.53,1.52,1.55,<0.0001,433.49,<0.0001,<0.0001,<0.0001,0
1891,Hypothyroidism (without hyper) Sleep apnoea,Hypothyroidism (without hyper),Sleep apnoea,1.53,1.5,1.57,<0.0001,132.71,<0.0001,<0.0001,<0.0001,0
1892,Migraine Enthesopathies of the shoulder,Migraine,Enthesopathies of the shoulder,1.54,1.52,1.55,<0.0001,19.66,<0.0001,<0.0001,<0.0001,0
1893,Erectile dysfunction Essential tremor,Erectile dysfunction,Essential tremor,1.54,1.48,1.6,<0.0001,2.47,0.12,<0.0001,<0.0001,0
1894,Enthesopathies of the lower body Female genital prolapse,Enthesopathies of the lower body,Female genital prolapse,1.54,1.52,1.56,<0.0001,9.22,<0.0001,<0.0001,<0.0001,0
1895,Migraine All stroke,Migraine,All stroke,1.54,1.51,1.57,<0.0001,29.22,<0.0001,<0.0001,<0.0001,0
1896,Essential tremor COPD,Essential tremor,COPD,1.54,1.49,1.59,<0.0001,45.28,<0.0001,<0.0001,<0.0001,0
1897,Gastritis and duodeniti Abdominal aortic aneurysm,Gastritis and duodeniti,Abdominal aortic aneurysm,1.54,1.48,1.6,<0.0001,19.08,<0.0001,<0.0001,<0.0001,0
1898,Gastritis and duodeniti Enthesopathies of the shoulder,Gastritis and duodeniti,Enthesopathies of the shoulder,1.54,1.52,1.56,<0.0001,281.46,<0.0001,<0.0001,<0.0001,0
1899,Hyperthyroidism (without hypo) COPD,Hyperthyroidism (without hypo),COPD,1.54,1.5,1.58,<0.0001,35.89,<0.0001,<0.0001,<0.0001,0
1900,Enthesopathies of the upper body Sleep apnoea,Enthesopathies of the upper body,Sleep apnoea,1.54,1.52,1.57,<0.0001,83.17,<0.0001,<0.0001,<0.0001,0
1901,Erectile dysfunction Osteoarthritis (excl spine),Erectile dysfunction,Osteoarthritis (excl spine),1.54,1.53,1.56,<0.0001,0.26,0.61,<0.0001,<0.0001,0
1902,Spondylolisthesis Irritable bowel syndrome,Spondylolisthesis,Irritable bowel syndrome,1.55,1.48,1.61,<0.0001,9.27,<0.0001,<0.0001,<0.0001,0
1903,Heart failure Vitamin B12 deficiency anaemia,Heart failure,Vitamin B12 deficiency anaemia,1.55,1.51,1.58,<0.0001,23.17,<0.0001,<0.0001,<0.0001,0
1904,Hypothyroidism (without hyper) Fibromyalgia,Hypothyroidism (without hyper),Fibromyalgia,1.55,1.51,1.59,<0.0001,12.63,<0.0001,<0.0001,<0.0001,0
1905,Gout Nonrheumatic valve disease,Gout,Nonrheumatic valve disease,1.55,1.52,1.57,<0.0001,49.76,<0.0001,<0.0001,<0.0001,0
1906,Tinnitus Enthesopathies of the shoulder,Tinnitus,Enthesopathies of the shoulder,1.55,1.53,1.56,<0.0001,19.77,<0.0001,<0.0001,<0.0001,0
1907,Vitamin B12 deficiency anaemia Cataract,Vitamin B12 deficiency anaemia,Cataract,1.55,1.53,1.57,<0.0001,171.99,<0.0001,<0.0001,<0.0001,0
1908,Raynaud's syndrome Spondylolisthesis,Raynaud's syndrome,Spondylolisthesis,1.55,1.43,1.67,<0.0001,1.64,0.2,<0.0001,<0.0001,0
1909,Diverticular disease of intestine (acute and chronic) Scoliosis,Diverticular disease of intestine (acute and chronic),Scoliosis,1.55,1.51,1.58,<0.0001,0.37,0.54,<0.0001,<0.0001,0
1910,Coronary Heart Disease Erectile dysfunction,Coronary Heart Disease,Erectile dysfunction,1.55,1.53,1.56,<0.0001,22.06,<0.0001,<0.0001,<0.0001,0
1911,Fibromyalgia Transient ischaemic attack,Fibromyalgia,Transient ischaemic attack,1.55,1.47,1.63,<0.0001,2.32,0.13,<0.0001,<0.0001,0
1912,Bursitis Female genital prolapse,Bursitis,Female genital prolapse,1.55,1.53,1.57,<0.0001,26.11,<0.0001,<0.0001,<0.0001,0
1913,Erectile dysfunction Carpal tunnel syndrome,Erectile dysfunction,Carpal tunnel syndrome,1.55,1.52,1.58,<0.0001,1.9,0.17,<0.0001,<0.0001,0
1914,Erectile dysfunction Gastro-oesophageal reflux disease,Erectile dysfunction,Gastro-oesophageal reflux disease,1.55,1.54,1.57,<0.0001,2.78,0.1,<0.0001,<0.0001,0
1915,Spondylosis Hyperplasia of prostate,Spondylosis,Hyperplasia of prostate,1.55,1.54,1.57,<0.0001,70.54,<0.0001,<0.0001,<0.0001,0
1916,Gastritis and duodeniti Spondylolisthesis,Gastritis and duodeniti,Spondylolisthesis,1.55,1.5,1.61,<0.0001,25.86,<0.0001,<0.0001,<0.0001,0
1917,Essential tremor Asthma,Essential tremor,Asthma,1.55,1.51,1.6,<0.0001,11,<0.0001,<0.0001,<0.0001,0
1918,Insomnia Enthesopathies of the lower body,Insomnia,Enthesopathies of the lower body,1.56,1.54,1.57,<0.0001,427.41,<0.0001,<0.0001,<0.0001,0
1919,Allergic and chronic rhinitis Spondylosis,Allergic and chronic rhinitis,Spondylosis,1.56,1.54,1.57,<0.0001,138.86,<0.0001,<0.0001,<0.0001,0
1920,Thromboembolic Osteoarthritis (excl spine),Thromboembolic,Osteoarthritis (excl spine),1.56,1.54,1.57,<0.0001,121.1,<0.0001,<0.0001,<0.0001,0
1921,All stroke Sleep apnoea,All stroke,Sleep apnoea,1.56,1.51,1.6,<0.0001,1.13,0.29,<0.0001,<0.0001,0
1922,Bursitis Diverticular disease of intestine (acute and chronic),Bursitis,Diverticular disease of intestine (acute and chronic),1.56,1.54,1.58,<0.0001,25.22,<0.0001,<0.0001,<0.0001,0
1923,All stroke Iron deficiency anaemia,All stroke,Iron deficiency anaemia,1.56,1.53,1.58,<0.0001,22.74,<0.0001,<0.0001,<0.0001,0
1924,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes) Diverticular disease of intestine (acute and chronic),Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Diverticular disease of intestine (acute and chronic),1.56,1.54,1.58,<0.0001,28.99,<0.0001,<0.0001,<0.0001,0
1925,Intervertebral disc disorders Peptic ulcer disease,Intervertebral disc disorders,Peptic ulcer disease,1.56,1.53,1.59,<0.0001,13.74,<0.0001,<0.0001,<0.0001,0
1926,Chronic sinusitis Osteoarthritis (excl spine),Chronic sinusitis,Osteoarthritis (excl spine),1.56,1.55,1.57,<0.0001,14.88,<0.0001,<0.0001,<0.0001,0
1927,Insomnia Osteoarthritis (excl spine),Insomnia,Osteoarthritis (excl spine),1.56,1.55,1.57,<0.0001,679.47,<0.0001,<0.0001,<0.0001,0
1928,Urinary Incontinence Gastro-oesophageal reflux disease,Urinary Incontinence,Gastro-oesophageal reflux disease,1.56,1.55,1.58,<0.0001,1308.16,<0.0001,<0.0001,<0.0001,0
1929,COPD Fibromyalgia,COPD,Fibromyalgia,1.56,1.51,1.61,<0.0001,27,<0.0001,<0.0001,<0.0001,0
1930,Depression All stroke,Depression,All stroke,1.56,1.54,1.58,<0.0001,27.68,<0.0001,<0.0001,<0.0001,0
1931,Fibromyalgia Female genital prolapse,Fibromyalgia,Female genital prolapse,1.56,1.52,1.61,<0.0001,14.4,<0.0001,<0.0001,<0.0001,0
1932,Diabetes type 2 Urinary Incontinence,Diabetes type 2,Urinary Incontinence,1.56,1.55,1.58,<0.0001,17.04,<0.0001,<0.0001,<0.0001,0
1933,Urolithiasis Irritable bowel syndrome,Urolithiasis,Irritable bowel syndrome,1.56,1.53,1.6,<0.0001,9.05,<0.0001,<0.0001,<0.0001,0
1934,Insomnia Spondylosis,Insomnia,Spondylosis,1.56,1.55,1.58,<0.0001,603.84,<0.0001,<0.0001,<0.0001,0
1935,Gastro-oesophageal reflux disease Female genital prolapse,Gastro-oesophageal reflux disease,Female genital prolapse,1.56,1.55,1.58,<0.0001,158.94,<0.0001,<0.0001,<0.0001,0
1936,Enthesopathies of the upper body Gastritis and duodeniti,Enthesopathies of the upper body,Gastritis and duodeniti,1.56,1.55,1.58,<0.0001,346.25,<0.0001,<0.0001,<0.0001,0
1937,Diverticular disease of intestine (acute and chronic) Depression,Diverticular disease of intestine (acute and chronic),Depression,1.56,1.55,1.58,<0.0001,272.21,<0.0001,<0.0001,<0.0001,0
1938,Iron deficiency anaemia Urinary Incontinence,Iron deficiency anaemia,Urinary Incontinence,1.56,1.55,1.58,<0.0001,64.23,<0.0001,<0.0001,<0.0001,0
1939,Gastro-oesophageal reflux disease Spondylolisthesis,Gastro-oesophageal reflux disease,Spondylolisthesis,1.57,1.52,1.61,<0.0001,13.4,<0.0001,<0.0001,<0.0001,0
1940,Tinnitus Raynaud's syndrome,Tinnitus,Raynaud's syndrome,1.57,1.52,1.61,<0.0001,1.16,0.28,<0.0001,<0.0001,0
1941,Cholelithiasis Thromboembolic,Cholelithiasis,Thromboembolic,1.57,1.54,1.6,<0.0001,48.14,<0.0001,<0.0001,<0.0001,0
1942,Bursitis Migraine,Bursitis,Migraine,1.57,1.55,1.59,<0.0001,9.83,<0.0001,<0.0001,<0.0001,0
1943,COPD Obesity,COPD,Obesity,1.57,1.55,1.59,<0.0001,145.64,<0.0001,<0.0001,<0.0001,0
1944,Abdominal aortic aneurysm Hyperthyroidism (without hypo),Abdominal aortic aneurysm,Hyperthyroidism (without hypo),1.57,1.43,1.73,<0.0001,0.31,0.58,<0.0001,<0.0001,0
1945,Tendon disorders Gastritis and duodeniti,Tendon disorders,Gastritis and duodeniti,1.57,1.56,1.59,<0.0001,167.31,<0.0001,<0.0001,<0.0001,0
1946,Enthesopathies of the lower body Diverticular disease of intestine (acute and chronic),Enthesopathies of the lower body,Diverticular disease of intestine (acute and chronic),1.57,1.56,1.59,<0.0001,82.68,<0.0001,<0.0001,<0.0001,0
1947,"Schizophrenia, schizotypal and delusional disorders Diabetes type 2","Schizophrenia, schizotypal and delusional disorders",Diabetes type 2,1.57,1.53,1.62,<0.0001,82.63,<0.0001,<0.0001,<0.0001,0
1948,Hyperplasia of prostate Chronic sinusitis,Hyperplasia of prostate,Chronic sinusitis,1.57,1.54,1.6,<0.0001,1.98,0.16,<0.0001,<0.0001,0
1949,Chronic kidney disease All stroke,Chronic kidney disease,All stroke,1.57,1.55,1.59,<0.0001,36.98,<0.0001,<0.0001,<0.0001,0
1950,Chronic kidney disease Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Chronic kidney disease,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.57,1.55,1.59,<0.0001,295.31,<0.0001,<0.0001,<0.0001,0
1951,Vitamin B12 deficiency anaemia COPD,Vitamin B12 deficiency anaemia,COPD,1.57,1.55,1.6,<0.0001,111.62,<0.0001,<0.0001,<0.0001,0
1952,Chronic kidney disease Thromboembolic,Chronic kidney disease,Thromboembolic,1.57,1.55,1.59,<0.0001,2.4,0.12,<0.0001,<0.0001,0
1953,Thromboembolic Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Thromboembolic,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.57,1.54,1.61,<0.0001,2.01,0.16,<0.0001,<0.0001,0
1954,Chronic kidney disease Primary Malignancy_Bladder,Chronic kidney disease,Primary Malignancy_Bladder,1.57,1.54,1.61,<0.0001,0.02,0.88,<0.0001,<0.0001,0
1955,Tendon disorders Sleep apnoea,Tendon disorders,Sleep apnoea,1.57,1.55,1.6,<0.0001,61.01,<0.0001,<0.0001,<0.0001,0
1956,Vitamin B12 deficiency anaemia Rheumatoid Arthritis,Vitamin B12 deficiency anaemia,Rheumatoid Arthritis,1.57,1.53,1.63,<0.0001,11.02,<0.0001,<0.0001,<0.0001,0
1957,Erectile dysfunction Vitamin B12 deficiency anaemia,Erectile dysfunction,Vitamin B12 deficiency anaemia,1.58,1.55,1.61,<0.0001,9.98,<0.0001,<0.0001,<0.0001,0
1958,Iron deficiency anaemia Abdominal aortic aneurysm,Iron deficiency anaemia,Abdominal aortic aneurysm,1.58,1.51,1.65,<0.0001,0.66,0.42,<0.0001,<0.0001,0
1959,Enthesopathies of the lower body Sleep apnoea,Enthesopathies of the lower body,Sleep apnoea,1.58,1.55,1.61,<0.0001,14.85,<0.0001,<0.0001,<0.0001,0
1960,Essential tremor Raynaud's syndrome,Essential tremor,Raynaud's syndrome,1.58,1.46,1.7,<0.0001,0.56,0.45,<0.0001,<0.0001,0
1961,Rheumatoid Arthritis Peptic ulcer disease,Rheumatoid Arthritis,Peptic ulcer disease,1.58,1.52,1.63,<0.0001,29.84,<0.0001,<0.0001,<0.0001,0
1962,Iron deficiency anaemia Thromboembolic,Iron deficiency anaemia,Thromboembolic,1.58,1.55,1.61,<0.0001,13.25,<0.0001,<0.0001,<0.0001,0
1963,Insomnia Bursitis,Insomnia,Bursitis,1.58,1.56,1.6,<0.0001,204.92,<0.0001,<0.0001,<0.0001,0
1964,Thromboembolic Urinary Incontinence,Thromboembolic,Urinary Incontinence,1.58,1.55,1.61,<0.0001,24,<0.0001,<0.0001,<0.0001,0
1965,Allergic and chronic rhinitis Enthesopathies of the lower body,Allergic and chronic rhinitis,Enthesopathies of the lower body,1.58,1.57,1.6,<0.0001,16.47,<0.0001,<0.0001,<0.0001,0
1966,Enthesopathies of the lower body Raynaud's syndrome,Enthesopathies of the lower body,Raynaud's syndrome,1.58,1.54,1.62,<0.0001,12.5,<0.0001,<0.0001,<0.0001,0
1967,Gastro-oesophageal reflux disease Enthesopathies of the shoulder,Gastro-oesophageal reflux disease,Enthesopathies of the shoulder,1.58,1.57,1.6,<0.0001,402.71,<0.0001,<0.0001,<0.0001,0
1968,Intervertebral disc disorders Raynaud's syndrome,Intervertebral disc disorders,Raynaud's syndrome,1.58,1.53,1.63,<0.0001,15.74,<0.0001,<0.0001,<0.0001,0
1969,Bursitis Gastro-oesophageal reflux disease,Bursitis,Gastro-oesophageal reflux disease,1.58,1.57,1.6,<0.0001,79.82,<0.0001,<0.0001,<0.0001,0
1970,Irritable bowel syndrome Essential tremor,Irritable bowel syndrome,Essential tremor,1.58,1.52,1.65,<0.0001,1.24,0.27,<0.0001,<0.0001,0
1971,Insomnia Enthesopathies of the upper body,Insomnia,Enthesopathies of the upper body,1.58,1.57,1.6,<0.0001,1805.66,<0.0001,<0.0001,<0.0001,0
1972,Migraine Diverticular disease of intestine (acute and chronic),Migraine,Diverticular disease of intestine (acute and chronic),1.59,1.57,1.61,<0.0001,31.84,<0.0001,<0.0001,<0.0001,0
1973,Peptic ulcer disease Coronary Heart Disease,Peptic ulcer disease,Coronary Heart Disease,1.59,1.56,1.61,<0.0001,285.08,<0.0001,<0.0001,<0.0001,0
1974,Urinary Incontinence Gastritis and duodeniti,Urinary Incontinence,Gastritis and duodeniti,1.59,1.57,1.61,<0.0001,589.77,<0.0001,<0.0001,<0.0001,0
1975,Iron deficiency anaemia Gastro-oesophageal reflux disease,Iron deficiency anaemia,Gastro-oesophageal reflux disease,1.59,1.57,1.61,<0.0001,342.75,<0.0001,<0.0001,<0.0001,0
1976,Cholelithiasis Sleep apnoea,Cholelithiasis,Sleep apnoea,1.59,1.55,1.63,<0.0001,121.51,<0.0001,<0.0001,<0.0001,0
1977,Ulcerative colitis Rheumatoid Arthritis,Ulcerative colitis,Rheumatoid Arthritis,1.59,1.48,1.7,<0.0001,0.41,0.52,<0.0001,<0.0001,0
1978,Gastro-oesophageal reflux disease Raynaud's syndrome,Gastro-oesophageal reflux disease,Raynaud's syndrome,1.59,1.55,1.62,<0.0001,19.26,<0.0001,<0.0001,<0.0001,0
1979,Iron deficiency anaemia Hypertension,Iron deficiency anaemia,Hypertension,1.59,1.57,1.6,<0.0001,0.05,0.82,<0.0001,<0.0001,0
1980,Hypothyroidism (without hyper) Chronic kidney disease,Hypothyroidism (without hyper),Chronic kidney disease,1.59,1.58,1.61,<0.0001,466.51,<0.0001,<0.0001,<0.0001,0
1981,COPD Osteoporosis,COPD,Osteoporosis,1.59,1.57,1.61,<0.0001,131.32,<0.0001,<0.0001,<0.0001,0
1982,Bursitis Raynaud's syndrome,Bursitis,Raynaud's syndrome,1.59,1.55,1.64,<0.0001,0.42,0.52,<0.0001,<0.0001,0
1983,Gout Diabetes type 2,Gout,Diabetes type 2,1.59,1.58,1.61,<0.0001,263.64,<0.0001,<0.0001,<0.0001,0
1984,Irritable bowel syndrome Sleep apnoea,Irritable bowel syndrome,Sleep apnoea,1.59,1.55,1.64,<0.0001,4.78,0.03,<0.0001,<0.0001,0
1985,Essential tremor Spondylosis,Essential tremor,Spondylosis,1.59,1.55,1.64,<0.0001,34.61,<0.0001,<0.0001,<0.0001,0
1986,Tendon disorders Hyperplasia of prostate,Tendon disorders,Hyperplasia of prostate,1.6,1.58,1.61,<0.0001,291.53,<0.0001,<0.0001,<0.0001,0
1987,Chronic sinusitis Enthesopathies of the shoulder,Chronic sinusitis,Enthesopathies of the shoulder,1.6,1.58,1.61,<0.0001,2.9,0.09,<0.0001,<0.0001,0
1988,Enthesopathies of the upper body Raynaud's syndrome,Enthesopathies of the upper body,Raynaud's syndrome,1.6,1.57,1.63,<0.0001,35.12,<0.0001,<0.0001,<0.0001,0
1989,Migraine Enthesopathies of the lower body,Migraine,Enthesopathies of the lower body,1.6,1.58,1.62,<0.0001,40.3,<0.0001,<0.0001,<0.0001,0
1990,Ulcerative colitis Urolithiasis,Ulcerative colitis,Urolithiasis,1.6,1.52,1.68,<0.0001,26.95,<0.0001,<0.0001,<0.0001,0
1991,Intervertebral disc disorders Gastro-oesophageal reflux disease,Intervertebral disc disorders,Gastro-oesophageal reflux disease,1.6,1.58,1.62,<0.0001,22.82,<0.0001,<0.0001,<0.0001,0
1992,Osteoarthritis (excl spine) Irritable bowel syndrome,Osteoarthritis (excl spine),Irritable bowel syndrome,1.6,1.58,1.61,<0.0001,90.48,<0.0001,<0.0001,<0.0001,0
1993,Gastritis and duodeniti Raynaud's syndrome,Gastritis and duodeniti,Raynaud's syndrome,1.6,1.55,1.64,<0.0001,3.71,0.05,<0.0001,<0.0001,0
1994,Intervertebral disc disorders Depression,Intervertebral disc disorders,Depression,1.6,1.58,1.62,<0.0001,4.18,0.04,<0.0001,<0.0001,0
1995,Depression Peptic ulcer disease,Depression,Peptic ulcer disease,1.6,1.58,1.62,<0.0001,167.09,<0.0001,<0.0001,<0.0001,0
1996,Osteoarthritis (excl spine) Diverticular disease of intestine (acute and chronic),Osteoarthritis (excl spine),Diverticular disease of intestine (acute and chronic),1.6,1.59,1.61,<0.0001,201.91,<0.0001,<0.0001,<0.0001,0
1997,Gastro-oesophageal reflux disease Sleep apnoea,Gastro-oesophageal reflux disease,Sleep apnoea,1.6,1.57,1.63,<0.0001,195.06,<0.0001,<0.0001,<0.0001,0
1998,Irritable bowel syndrome Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Irritable bowel syndrome,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.6,1.57,1.64,<0.0001,11.64,<0.0001,<0.0001,<0.0001,0
1999,Spondylolisthesis Diverticular disease of intestine (acute and chronic),Spondylolisthesis,Diverticular disease of intestine (acute and chronic),1.6,1.56,1.65,<0.0001,0.71,0.4,<0.0001,<0.0001,0
2000,Spondylosis Anxiety disorders,Spondylosis,Anxiety disorders,1.61,1.59,1.62,<0.0001,491.64,<0.0001,<0.0001,<0.0001,0
2001,Chronic sinusitis Intervertebral disc disorders,Chronic sinusitis,Intervertebral disc disorders,1.61,1.58,1.63,<0.0001,2.49,0.11,<0.0001,<0.0001,0
2002,Depression Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Depression,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.61,1.59,1.63,<0.0001,57.52,<0.0001,<0.0001,<0.0001,0
2003,Erectile dysfunction Depression,Erectile dysfunction,Depression,1.61,1.59,1.63,<0.0001,0,0.97,<0.0001,<0.0001,0
2004,Gastritis and duodeniti Osteoarthritis (excl spine),Gastritis and duodeniti,Osteoarthritis (excl spine),1.61,1.6,1.62,<0.0001,354.62,<0.0001,<0.0001,<0.0001,0
2005,Urolithiasis Primary Malignancy_Bladder,Urolithiasis,Primary Malignancy_Bladder,1.61,1.55,1.68,<0.0001,70.72,<0.0001,<0.0001,<0.0001,0
2006,Ischaemic stroke and TIA Sleep apnoea,Ischaemic stroke and TIA,Sleep apnoea,1.61,1.57,1.66,<0.0001,8.77,<0.0001,<0.0001,<0.0001,0
2007,Diverticular disease of intestine (acute and chronic) Chronic sinusitis,Diverticular disease of intestine (acute and chronic),Chronic sinusitis,1.62,1.6,1.64,<0.0001,0.95,0.33,<0.0001,<0.0001,0
2008,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes) Coronary Heart Disease,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Coronary Heart Disease,1.62,1.6,1.64,<0.0001,100.94,<0.0001,<0.0001,<0.0001,0
2009,Vitamin B12 deficiency anaemia Sleep apnoea,Vitamin B12 deficiency anaemia,Sleep apnoea,1.62,1.56,1.68,<0.0001,42.81,<0.0001,<0.0001,<0.0001,0
2010,Urinary Incontinence Osteoarthritis (excl spine),Urinary Incontinence,Osteoarthritis (excl spine),1.62,1.61,1.63,<0.0001,822.13,<0.0001,<0.0001,<0.0001,0
2011,Tendon disorders Raynaud's syndrome,Tendon disorders,Raynaud's syndrome,1.62,1.59,1.66,<0.0001,21.15,<0.0001,<0.0001,<0.0001,0
2012,Tinnitus Enthesopathies of the upper body,Tinnitus,Enthesopathies of the upper body,1.62,1.61,1.64,<0.0001,2.13,0.14,<0.0001,<0.0001,0
2013,Irritable bowel syndrome Enthesopathies of the shoulder,Irritable bowel syndrome,Enthesopathies of the shoulder,1.62,1.6,1.64,<0.0001,161.99,<0.0001,<0.0001,<0.0001,0
2014,Chronic sinusitis Raynaud's syndrome,Chronic sinusitis,Raynaud's syndrome,1.62,1.58,1.67,<0.0001,0.3,0.59,<0.0001,<0.0001,0
2015,Fibromyalgia Thromboembolic,Fibromyalgia,Thromboembolic,1.62,1.56,1.7,<0.0001,5.99,0.01,<0.0001,<0.0001,0
