"","p1","p2","rg","rg_lci","rg_uci","rg_se","rg_p","rg_p_fdr_heatmap","p_fdr_scatter","p1_icd_chapter_name","p2_icd_chapter_name","p1_data_sources","p2_data_sources","within_domain"
"2274","Primary Malignancy_Breast","Iron deficiency anaemia",-0.01,-0.08,0.07,0.04,"0.87","0.9","0.9","Neoplasms","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","2, 3","1",0
"2275","Transient ischaemic attack","Schizophrenia, schizotypal and delusional disorders",-0.01,-0.07,0.06,0.03,"0.86","0.89","0.89","Diseases of the circulatory system","Mental and behavioural disorders","1, 2","1, 2, 3",0
"2276","Essential tremor","Scoliosis",-0.01,-0.2,0.18,0.1,"0.95","0.96","0.96","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"2277","Psoriasis","Fibromatoses",-0.01,-0.11,0.09,0.05,"0.9","0.92","0.92","Diseases of the skin and subcutaneous tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"2278","Chronic kidney disease","Ulcerative colitis",-0.01,-0.07,0.06,0.03,"0.84","0.88","0.88","Diseases of the genitourinary system","Diseases of the digestive system","1, 3","1, 2, 3",0
"2279","Nonrheumatic valve disease","Hearing loss",-0.01,-0.07,0.06,0.03,"0.84","0.88","0.88","Diseases of the circulatory system","Diseases of the ear and mastoid process","1, 2","3",0
"2280","Primary Malignancy_Prostate","Chronic kidney disease",-0.01,-0.08,0.07,0.04,"0.85","0.88","0.88","Neoplasms","Diseases of the genitourinary system","1, 2","1, 3",0
"2281","Glaucoma","Coronary Heart Disease",-0.01,-0.07,0.05,0.03,"0.81","0.85","0.85","Diseases of the eye and adnexa","Diseases of the circulatory system","1, 3","2, 3",0
"2282","Spondylolisthesis","Primary Malignancy_Other Skin and subcutaneous tissue",-0.01,-0.11,0.1,0.05,"0.89","0.92","0.92","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1","1, 2",0
"2283","Hyperthyroidism (without hypo)","Allergic and chronic rhinitis",-0.01,-0.13,0.11,0.06,"0.89","0.92","0.92","Endocrine, nutritional and metabolic diseases","Diseases of the respiratory system","1, 2","1, 2",0
"2284","Vitamin B12 deficiency anaemia","Hyperplasia of prostate",-0.01,-0.14,0.12,0.07,"0.9","0.93","0.93","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the genitourinary system","1","1, 2",0
"2285","Essential tremor","Schizophrenia, schizotypal and delusional disorders",-0.01,-0.1,0.09,0.05,"0.86","0.9","0.9","Diseases of the nervous system","Mental and behavioural disorders","1","1, 2, 3",0
"2286","Primary Malignancy_Colorectal","COPD",-0.01,-0.09,0.07,0.04,"0.83","0.87","0.87","Neoplasms","Diseases of the respiratory system","1, 2","1, 2",0
"2287","Raynaud's syndrome","Abdominal aortic aneurysm",-0.01,-0.18,0.16,0.09,"0.92","0.94","0.94","Diseases of the circulatory system","Diseases of the circulatory system","1","1, 2",1
"2288","Sleep apnoea","Primary Malignancy_Other Skin and subcutaneous tissue",-0.01,-0.06,0.04,0.03,"0.75","0.8","0.8","Diseases of the nervous system","Neoplasms","1, 2","1, 2",0
"2289","Insomnia","Primary Malignancy_Other Skin and subcutaneous tissue",-0.01,-0.13,0.11,0.06,"0.88","0.91","0.91","Diseases of the nervous system","Neoplasms","1","1, 2",0
"2290","Migraine","Glaucoma",-0.01,-0.06,0.04,0.03,"0.71","0.77","0.77","Diseases of the nervous system","Diseases of the eye and adnexa","1, 2, 3","1, 3",0
"2291","Vitamin B12 deficiency anaemia","Primary Malignancy_Prostate",-0.01,-0.13,0.11,0.06,"0.87","0.9","0.9","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Neoplasms","1","1, 2",0
"2292","Essential tremor","Peptic ulcer disease",-0.01,-0.2,0.18,0.1,"0.92","0.94","0.94","Diseases of the nervous system","Diseases of the digestive system","1","1, 2",0
"2293","Sleep apnoea","Primary Malignancy_Breast",-0.01,-0.06,0.04,0.02,"0.68","0.74","0.74","Diseases of the nervous system","Neoplasms","1, 2","2, 3",0
"2294","Cataract","Primary Malignancy_Prostate",-0.01,-0.07,0.05,0.03,"0.74","0.8","0.8","Diseases of the eye and adnexa","Neoplasms","1, 2","1, 2",0
"2295","Tendon disorders","Primary Malignancy_Prostate",-0.01,-0.08,0.06,0.04,"0.78","0.83","0.83","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1, 2","1, 2",0
"2296","Scoliosis","Urolithiasis",-0.01,-0.12,0.1,0.06,"0.85","0.88","0.88","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","1, 2","1, 2",0
"2297","Glaucoma","Fibromatoses",-0.01,-0.09,0.07,0.04,"0.79","0.84","0.84","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 3","1",0
"2298","Schizophrenia, schizotypal and delusional disorders","Heart failure",-0.01,-0.06,0.04,0.03,"0.68","0.74","0.74","Mental and behavioural disorders","Diseases of the circulatory system","1, 2, 3","2, 3",0
"2299","Intervertebral disc disorders","Schizophrenia, schizotypal and delusional disorders",-0.01,-0.05,0.03,0.02,"0.61","0.67","0.68","Diseases of the musculoskeletal system and connective tissue","Mental and behavioural disorders","1, 2","1, 2, 3",0
"2300","Raynaud's syndrome","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",-0.01,-0.23,0.21,0.11,"0.92","0.94","0.94","Diseases of the circulatory system","Diseases of the nervous system","1","1",0
"2301","Cholelithiasis","Scoliosis",-0.01,-0.1,0.08,0.05,"0.79","0.84","0.84","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"2302","Cataract","Primary Malignancy_Breast",-0.01,-0.06,0.04,0.03,"0.64","0.7","0.7","Diseases of the eye and adnexa","Neoplasms","1, 2","2, 3",0
"2303","Essential tremor","Enthesopathies of the shoulder",-0.01,-0.13,0.11,0.06,"0.84","0.88","0.88","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"2304","All stroke","Chronic sinusitis",-0.01,-0.17,0.14,0.08,"0.87","0.9","0.9","Diseases of the circulatory system","Diseases of the respiratory system","1, 2","1",0
"2305","Chronic sinusitis","Primary Malignancy_Other Skin and subcutaneous tissue",-0.01,-0.13,0.11,0.06,"0.83","0.87","0.87","Diseases of the respiratory system","Neoplasms","1","1, 2",0
"2306","Glaucoma","Osteoarthritis (excl spine)",-0.01,-0.07,0.04,0.03,"0.64","0.71","0.71","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 3","2, 3",0
"2307","Hyperplasia of prostate","Abdominal aortic aneurysm",-0.01,-0.12,0.1,0.06,"0.81","0.85","0.85","Diseases of the genitourinary system","Diseases of the circulatory system","1, 2","1, 2",0
"2308","Vitamin B12 deficiency anaemia","Schizophrenia, schizotypal and delusional disorders",-0.01,-0.11,0.08,0.05,"0.77","0.82","0.82","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Mental and behavioural disorders","1","1, 2, 3",0
"2309","Thromboembolic","Primary Malignancy_Other Skin and subcutaneous tissue",-0.01,-0.08,0.05,0.03,"0.67","0.74","0.74","Diseases of the circulatory system","Neoplasms","1, 2","1, 2",0
"2310","Fibromatoses","Diabetes type 2",-0.02,-0.07,0.04,0.03,"0.56","0.63","0.63","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","1","2, 3",0
"2311","Hyperthyroidism (without hypo)","Glaucoma",-0.02,-0.1,0.07,0.04,"0.72","0.77","0.77","Endocrine, nutritional and metabolic diseases","Diseases of the eye and adnexa","1, 2","1, 3",0
"2312","Glaucoma","Gastro-oesophageal reflux disease",-0.02,-0.07,0.04,0.03,"0.57","0.64","0.64","Diseases of the eye and adnexa","Diseases of the digestive system","1, 3","2, 3",0
"2313","Glaucoma","Gout",-0.02,-0.07,0.03,0.03,"0.53","0.6","0.6","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 3","1, 2, 3",0
"2314","Glaucoma","Heart failure",-0.02,-0.09,0.05,0.04,"0.65","0.72","0.72","Diseases of the eye and adnexa","Diseases of the circulatory system","1, 3","2, 3",0
"2315","Primary Malignancy_Other Skin and subcutaneous tissue","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",-0.02,-0.11,0.08,0.05,"0.73","0.79","0.79","Neoplasms","Diseases of the nervous system","1, 2","1",0
"2316","Retinal detachments and breaks","Female genital prolapse",-0.02,-0.11,0.08,0.05,"0.74","0.8","0.8","Diseases of the eye and adnexa","Diseases of the genitourinary system","1","1, 2",0
"2317","Schizophrenia, schizotypal and delusional disorders","Diabetes type 2",-0.02,-0.05,0.02,0.02,"0.36","0.43","0.43","Mental and behavioural disorders","Endocrine, nutritional and metabolic diseases","1, 2, 3","2, 3",0
"2318","Glaucoma","Enthesopathies of the upper body",-0.02,-0.09,0.06,0.04,"0.67","0.73","0.73","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 3","1",0
"2319","Primary Malignancy_Other Skin and subcutaneous tissue","Female genital prolapse",-0.02,-0.08,0.04,0.03,"0.57","0.64","0.64","Neoplasms","Diseases of the genitourinary system","1, 2","1, 2",0
"2320","Rheumatoid Arthritis","Hyperplasia of prostate",-0.02,-0.1,0.06,0.04,"0.67","0.73","0.73","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","3","1, 2",0
"2321","Gout","Retinal detachments and breaks",-0.02,-0.11,0.07,0.04,"0.69","0.75","0.75","Diseases of the musculoskeletal system and connective tissue","Diseases of the eye and adnexa","1, 2, 3","1",0
"2322","Atrial fibrillation","Raynaud's syndrome",-0.02,-0.11,0.08,0.05,"0.71","0.77","0.77","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1",1
"2323","Chronic kidney disease","Hearing loss",-0.02,-0.08,0.04,0.03,"0.53","0.61","0.61","Diseases of the genitourinary system","Diseases of the ear and mastoid process","1, 3","3",0
"2324","Enthesopathies of the lower body","Primary Malignancy_Colorectal",-0.02,-0.16,0.12,0.07,"0.79","0.84","0.84","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1, 2","1, 2",0
"2325","Schizophrenia, schizotypal and delusional disorders","Fibromatoses",-0.02,-0.07,0.04,0.03,"0.52","0.59","0.59","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","1, 2, 3","1",0
"2326","Sleep apnoea","Primary Malignancy_Colorectal",-0.02,-0.1,0.06,0.04,"0.66","0.72","0.72","Diseases of the nervous system","Neoplasms","1, 2","1, 2",0
"2327","Hypertension","Primary Malignancy_Other Skin and subcutaneous tissue",-0.02,-0.06,0.02,0.02,"0.39","0.47","0.47","Diseases of the circulatory system","Neoplasms","1, 2","1, 2",0
"2328","Schizophrenia, schizotypal and delusional disorders","Urolithiasis",-0.02,-0.07,0.03,0.03,"0.48","0.56","0.56","Mental and behavioural disorders","Diseases of the genitourinary system","1, 2, 3","1, 2",0
"2329","Primary Malignancy_Other Skin and subcutaneous tissue","Erectile dysfunction",-0.02,-0.14,0.1,0.06,"0.76","0.81","0.81","Neoplasms","Diseases of the genitourinary system","1, 2","1",0
"2330","Glaucoma","Obesity",-0.02,-0.07,0.03,0.02,"0.4","0.48","0.48","Diseases of the eye and adnexa","Endocrine, nutritional and metabolic diseases","1, 3","1, 2",0
"2331","Alcohol Problems","Primary Malignancy_Prostate",-0.02,-0.12,0.08,0.05,"0.7","0.76","0.76","Mental and behavioural disorders","Neoplasms","1","1, 2",0
"2332","Primary Malignancy_Other Skin and subcutaneous tissue","Transient ischaemic attack",-0.02,-0.12,0.08,0.05,"0.68","0.75","0.75","Neoplasms","Diseases of the circulatory system","1, 2","1, 2",0
"2333","All stroke","Primary Malignancy_Other Skin and subcutaneous tissue",-0.02,-0.11,0.07,0.05,"0.66","0.72","0.72","Diseases of the circulatory system","Neoplasms","1, 2","1, 2",0
"2334","Primary Malignancy_Other Skin and subcutaneous tissue","Gastritis and duodeniti",-0.02,-0.1,0.06,0.04,"0.59","0.66","0.66","Neoplasms","Diseases of the digestive system","1, 2","1",0
"2335","Retinal detachments and breaks","Hyperthyroidism (without hypo)",-0.02,-0.15,0.11,0.07,"0.75","0.81","0.81","Diseases of the eye and adnexa","Endocrine, nutritional and metabolic diseases","1","1, 2",0
"2336","Diabetes type 2","Primary Malignancy_Prostate",-0.02,-0.07,0.03,0.02,"0.38","0.46","0.46","Endocrine, nutritional and metabolic diseases","Neoplasms","2, 3","1, 2",0
"2337","Chronic kidney disease","Urolithiasis",-0.02,-0.11,0.07,0.05,"0.65","0.71","0.71","Diseases of the genitourinary system","Diseases of the genitourinary system","1, 3","1, 2",1
"2338","Atrial fibrillation","Primary Malignancy_Prostate",-0.02,-0.08,0.04,0.03,"0.47","0.55","0.55","Diseases of the circulatory system","Neoplasms","2, 3","1, 2",0
"2339","Osteoarthritis (excl spine)","Primary Malignancy_Breast",-0.02,-0.07,0.03,0.02,"0.38","0.46","0.46","Diseases of the musculoskeletal system and connective tissue","Neoplasms","2, 3","2, 3",0
"2340","Cataract","Schizophrenia, schizotypal and delusional disorders",-0.02,-0.06,0.02,0.02,"0.32","0.4","0.4","Diseases of the eye and adnexa","Mental and behavioural disorders","1, 2","1, 2, 3",0
"2341","Retinal detachments and breaks","Primary Malignancy_Other Skin and subcutaneous tissue",-0.02,-0.12,0.07,0.05,"0.66","0.72","0.72","Diseases of the eye and adnexa","Neoplasms","1","1, 2",0
"2342","Schizophrenia, schizotypal and delusional disorders","Iron deficiency anaemia",-0.02,-0.1,0.06,0.04,"0.59","0.66","0.66","Mental and behavioural disorders","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","1, 2, 3","1",0
"2343","Migraine","Primary Malignancy_Colorectal",-0.02,-0.1,0.05,0.04,"0.56","0.63","0.63","Diseases of the nervous system","Neoplasms","1, 2, 3","1, 2",0
"2344","Primary Malignancy_Colorectal","Hyperthyroidism (without hypo)",-0.02,-0.14,0.09,0.06,"0.7","0.76","0.76","Neoplasms","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"2345","Primary Malignancy_Breast","Abdominal aortic aneurysm",-0.02,-0.11,0.06,0.04,"0.6","0.67","0.67","Neoplasms","Diseases of the circulatory system","2, 3","1, 2",0
"2346","Insomnia","Primary Malignancy_Breast",-0.02,-0.13,0.08,0.05,"0.68","0.74","0.74","Diseases of the nervous system","Neoplasms","1","2, 3",0
"2347","Chronic kidney disease","Scoliosis",-0.02,-0.14,0.09,0.06,"0.7","0.76","0.76","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1, 3","1, 2",0
"2348","Cataract","Female genital prolapse",-0.02,-0.08,0.03,0.03,"0.4","0.48","0.48","Diseases of the eye and adnexa","Diseases of the genitourinary system","1, 2","1, 2",0
"2349","Hearing loss","Primary Malignancy_Other Skin and subcutaneous tissue",-0.02,-0.08,0.04,0.03,"0.45","0.52","0.52","Diseases of the ear and mastoid process","Neoplasms","3","1, 2",0
"2350","Glaucoma","Hearing loss",-0.02,-0.08,0.03,0.03,"0.42","0.5","0.5","Diseases of the eye and adnexa","Diseases of the ear and mastoid process","1, 3","3",0
"2351","Primary Malignancy_Colorectal","Tinnitus",-0.02,-0.15,0.11,0.07,"0.73","0.79","0.79","Neoplasms","Diseases of the ear and mastoid process","1, 2","1, 2",0
"2352","Primary Malignancy_Other Skin and subcutaneous tissue","Ischaemic stroke and TIA",-0.02,-0.15,0.1,0.06,"0.72","0.77","0.77","Neoplasms","Diseases of the circulatory system","1, 2","1",0
"2353","Primary Malignancy_Colorectal","Gout",-0.02,-0.1,0.05,0.04,"0.54","0.61","0.61","Neoplasms","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2, 3",0
"2354","Retinal detachments and breaks","Sleep apnoea",-0.02,-0.12,0.07,0.05,"0.62","0.69","0.69","Diseases of the eye and adnexa","Diseases of the nervous system","1","1, 2",0
"2355","Ulcerative colitis","Spondylolisthesis",-0.02,-0.14,0.09,0.06,"0.69","0.75","0.75","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2, 3","1",0
"2356","Obesity","Primary Malignancy_Breast",-0.02,-0.06,0.01,0.02,"0.22","0.29","0.29","Endocrine, nutritional and metabolic diseases","Neoplasms","1, 2","2, 3",0
"2357","Glaucoma","Rheumatoid Arthritis",-0.02,-0.1,0.05,0.04,"0.52","0.59","0.59","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 3","3",0
"2358","Ischaemic stroke and TIA","Retinal detachments and breaks",-0.02,-0.18,0.13,0.08,"0.75","0.81","0.81","Diseases of the circulatory system","Diseases of the eye and adnexa","1","1",0
"2359","Obesity","Raynaud's syndrome",-0.02,-0.12,0.07,0.05,"0.6","0.67","0.67","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","1",0
"2360","Retinal detachments and breaks","Gastro-oesophageal reflux disease",-0.02,-0.1,0.06,0.04,"0.54","0.62","0.62","Diseases of the eye and adnexa","Diseases of the digestive system","1","2, 3",0
"2361","Insomnia","Raynaud's syndrome",-0.03,-0.24,0.19,0.11,"0.82","0.86","0.86","Diseases of the nervous system","Diseases of the circulatory system","1","1",0
"2362","Spondylolisthesis","Retinal detachments and breaks",-0.03,-0.21,0.16,0.1,"0.79","0.84","0.84","Diseases of the musculoskeletal system and connective tissue","Diseases of the eye and adnexa","1","1",0
"2363","Spondylosis","Primary Malignancy_Prostate",-0.03,-0.12,0.07,0.05,"0.6","0.67","0.67","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1","1, 2",0
"2364","Urinary Incontinence","Primary Malignancy_Breast",-0.03,-0.1,0.05,0.04,"0.5","0.57","0.57","Diseases of the genitourinary system","Neoplasms","1","2, 3",0
"2365","Depression","Primary Malignancy_Other Skin and subcutaneous tissue",-0.03,-0.07,0.02,0.03,"0.31","0.38","0.38","Mental and behavioural disorders","Neoplasms","3","1, 2",0
"2366","Coronary Heart Disease","Schizophrenia, schizotypal and delusional disorders",-0.03,-0.06,0.01,0.02,"0.17","0.23","0.23","Diseases of the circulatory system","Mental and behavioural disorders","2, 3","1, 2, 3",0
"2367","Thromboembolic","Primary Malignancy_Prostate",-0.03,-0.11,0.06,0.04,"0.56","0.63","0.63","Diseases of the circulatory system","Neoplasms","1, 2","1, 2",0
"2368","Alcohol Problems","Glaucoma",-0.03,-0.12,0.06,0.05,"0.56","0.63","0.64","Mental and behavioural disorders","Diseases of the eye and adnexa","1","1, 3",0
"2369","Primary Malignancy_Breast","Hearing loss",-0.03,-0.07,0.02,0.02,"0.27","0.34","0.34","Neoplasms","Diseases of the ear and mastoid process","2, 3","3",0
"2370","Heart failure","Tinnitus",-0.03,-0.13,0.08,0.05,"0.63","0.7","0.7","Diseases of the circulatory system","Diseases of the ear and mastoid process","2, 3","1, 2",0
"2371","Atrial fibrillation","Fibromatoses",-0.03,-0.09,0.03,0.03,"0.4","0.48","0.48","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"2372","Insomnia","Retinal detachments and breaks",-0.03,-0.22,0.16,0.1,"0.78","0.83","0.83","Diseases of the nervous system","Diseases of the eye and adnexa","1","1",0
"2373","Osteoarthritis (excl spine)","Retinal detachments and breaks",-0.03,-0.1,0.05,0.04,"0.48","0.55","0.55","Diseases of the musculoskeletal system and connective tissue","Diseases of the eye and adnexa","2, 3","1",0
"2374","Schizophrenia, schizotypal and delusional disorders","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",-0.03,-0.11,0.06,0.04,"0.55","0.62","0.62","Mental and behavioural disorders","Diseases of the nervous system","1, 2, 3","1",0
"2375","Hypothyroidism (without hyper)","Primary Malignancy_Breast",-0.03,-0.08,0.02,0.02,"0.28","0.35","0.35","Endocrine, nutritional and metabolic diseases","Neoplasms","1, 2","2, 3",0
"2376","Urinary Incontinence","Primary Malignancy_Other Skin and subcutaneous tissue",-0.03,-0.1,0.05,0.04,"0.47","0.54","0.54","Diseases of the genitourinary system","Neoplasms","1","1, 2",0
"2377","Heart failure","Hearing loss",-0.03,-0.09,0.03,0.03,"0.36","0.44","0.44","Diseases of the circulatory system","Diseases of the ear and mastoid process","2, 3","3",0
"2378","All stroke","Hearing loss",-0.03,-0.1,0.05,0.04,"0.48","0.55","0.55","Diseases of the circulatory system","Diseases of the ear and mastoid process","1, 2","3",0
"2379","Retinal detachments and breaks","Hypertension",-0.03,-0.09,0.04,0.03,"0.41","0.49","0.49","Diseases of the eye and adnexa","Diseases of the circulatory system","1","1, 2",0
"2380","Erectile dysfunction","Scoliosis",-0.03,-0.21,0.15,0.09,"0.76","0.81","0.81","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"2381","Glaucoma","Psoriasis",-0.03,-0.11,0.05,0.04,"0.45","0.53","0.53","Diseases of the eye and adnexa","Diseases of the skin and subcutaneous tissue","1, 3","1, 2",0
"2382","Abdominal aortic aneurysm","Primary Malignancy_Colorectal",-0.03,-0.16,0.1,0.07,"0.65","0.72","0.72","Diseases of the circulatory system","Neoplasms","1, 2","1, 2",0
"2383","Hypertension","Schizophrenia, schizotypal and delusional disorders",-0.03,-0.06,0,0.02,"0.09","0.12","0.12","Diseases of the circulatory system","Mental and behavioural disorders","1, 2","1, 2, 3",0
"2384","Peripheral arterial disease","Hyperplasia of prostate",-0.03,-0.16,0.1,0.07,"0.64","0.71","0.71","Diseases of the circulatory system","Diseases of the genitourinary system","1","1, 2",0
"2385","Essential tremor","Peripheral arterial disease",-0.03,-0.23,0.17,0.1,"0.76","0.81","0.81","Diseases of the nervous system","Diseases of the circulatory system","1","1",0
"2386","Atrial fibrillation","Primary Malignancy_Colorectal",-0.03,-0.11,0.04,0.04,"0.43","0.5","0.5","Diseases of the circulatory system","Neoplasms","2, 3","1, 2",0
"2387","Vitamin B12 deficiency anaemia","Primary Malignancy_Colorectal",-0.03,-0.19,0.13,0.08,"0.71","0.77","0.77","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Neoplasms","1","1, 2",0
"2388","Osteoporosis","Glaucoma",-0.03,-0.1,0.04,0.03,"0.36","0.44","0.44","Diseases of the musculoskeletal system and connective tissue","Diseases of the eye and adnexa","1","1, 3",0
"2389","Cholelithiasis","Fibromatoses",-0.03,-0.11,0.05,0.04,"0.44","0.51","0.51","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"2390","Peripheral arterial disease","Primary Malignancy_Colorectal",-0.03,-0.18,0.11,0.07,"0.67","0.73","0.73","Diseases of the circulatory system","Neoplasms","1","1, 2",0
"2391","Fibromatoses","Obesity",-0.03,-0.09,0.03,0.03,"0.28","0.35","0.36","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","1","1, 2",0
"2392","Cholelithiasis","Raynaud's syndrome",-0.03,-0.15,0.08,0.06,"0.57","0.64","0.64","Diseases of the digestive system","Diseases of the circulatory system","1, 2","1",0
"2393","Irritable bowel syndrome","Primary Malignancy_Colorectal",-0.03,-0.22,0.16,0.1,"0.73","0.79","0.79","Diseases of the digestive system","Neoplasms","2, 3","1, 2",0
"2394","Schizophrenia, schizotypal and delusional disorders","Atrial fibrillation",-0.03,-0.07,0,0.02,"0.08","0.11","0.11","Mental and behavioural disorders","Diseases of the circulatory system","1, 2, 3","2, 3",0
"2395","Glaucoma","Insomnia",-0.03,-0.17,0.1,0.07,"0.63","0.7","0.7","Diseases of the eye and adnexa","Diseases of the nervous system","1, 3","1",0
"2396","Allergic and chronic rhinitis","Raynaud's syndrome",-0.03,-0.2,0.13,0.08,"0.69","0.75","0.75","Diseases of the respiratory system","Diseases of the circulatory system","1, 2","1",0
"2397","Essential tremor","Gout",-0.03,-0.12,0.06,0.05,"0.47","0.55","0.55","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1, 2, 3",0
"2398","Osteoarthritis (excl spine)","Primary Malignancy_Colorectal",-0.03,-0.1,0.03,0.03,"0.32","0.4","0.4","Diseases of the musculoskeletal system and connective tissue","Neoplasms","2, 3","1, 2",0
"2399","Primary Malignancy_Colorectal","Depression",-0.03,-0.1,0.04,0.04,"0.34","0.42","0.42","Neoplasms","Mental and behavioural disorders","1, 2","3",0
"2400","Tendon disorders","Primary Malignancy_Colorectal",-0.03,-0.13,0.06,0.05,"0.48","0.55","0.55","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1, 2","1, 2",0
"2401","Schizophrenia, schizotypal and delusional disorders","Retinal detachments and breaks",-0.04,-0.11,0.04,0.04,"0.34","0.42","0.42","Mental and behavioural disorders","Diseases of the eye and adnexa","1, 2, 3","1",0
"2402","Gastro-oesophageal reflux disease","Primary Malignancy_Colorectal",-0.04,-0.11,0.04,0.04,"0.37","0.44","0.44","Diseases of the digestive system","Neoplasms","2, 3","1, 2",0
"2403","Carpal tunnel syndrome","Primary Malignancy_Prostate",-0.04,-0.1,0.03,0.03,"0.26","0.32","0.32","Diseases of the nervous system","Neoplasms","1, 2","1, 2",0
"2404","Primary Malignancy_Colorectal","Heart failure",-0.04,-0.12,0.05,0.04,"0.41","0.48","0.48","Neoplasms","Diseases of the circulatory system","1, 2","2, 3",0
"2405","Primary Malignancy_Prostate","Fibromyalgia",-0.04,-0.17,0.09,0.07,"0.58","0.65","0.65","Neoplasms","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"2406","Rheumatoid Arthritis","Primary Malignancy_Bladder",-0.04,-0.2,0.12,0.08,"0.66","0.72","0.72","Diseases of the musculoskeletal system and connective tissue","Neoplasms","3","1",0
"2407","Primary Malignancy_Colorectal","Spondylolisthesis",-0.04,-0.2,0.13,0.08,"0.65","0.72","0.72","Neoplasms","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"2408","Primary Malignancy_Bladder","Ulcerative colitis",-0.04,-0.17,0.09,0.07,"0.56","0.63","0.64","Neoplasms","Diseases of the digestive system","1","1, 2, 3",0
"2409","Diabetes type 2","Primary Malignancy_Breast",-0.04,-0.08,0,0.02,"0.08","0.11","0.11","Endocrine, nutritional and metabolic diseases","Neoplasms","2, 3","2, 3",0
"2410","Primary Malignancy_Colorectal","Hypertension",-0.04,-0.1,0.02,0.03,"0.2","0.26","0.26","Neoplasms","Diseases of the circulatory system","1, 2","1, 2",0
"2411","Glaucoma","Fibromyalgia",-0.04,-0.15,0.07,0.05,"0.48","0.55","0.55","Diseases of the eye and adnexa","Diseases of the musculoskeletal system and connective tissue","1, 3","1",0
"2412","Spondylosis","Primary Malignancy_Bladder",-0.04,-0.24,0.16,0.1,"0.7","0.76","0.76","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1","1",0
"2413","Female genital prolapse","Primary Malignancy_Colorectal",-0.04,-0.12,0.04,0.04,"0.35","0.42","0.42","Diseases of the genitourinary system","Neoplasms","1, 2","1, 2",0
"2414","Heart failure","Primary Malignancy_Prostate",-0.04,-0.12,0.04,0.04,"0.32","0.39","0.39","Diseases of the circulatory system","Neoplasms","2, 3","1, 2",0
"2415","Essential tremor","Rheumatoid Arthritis",-0.04,-0.16,0.08,0.06,"0.5","0.57","0.58","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","3",0
"2416","Essential tremor","Bursitis",-0.04,-0.28,0.19,0.12,"0.73","0.78","0.78","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"2417","Gout","Primary Malignancy_Other Skin and subcutaneous tissue",-0.04,-0.09,0.01,0.03,"0.11","0.15","0.15","Diseases of the musculoskeletal system and connective tissue","Neoplasms","1, 2, 3","1, 2",0
